issn,year,anti_labor,neutral,pro_labor,total_labor,anti_labor_intensity,anti_labor_rr,total_labor_rr
1941-3033,1882,28,31,19,78,0.358974358974359,3,8
1941-3033,1883,22,27,13,62,0.3548387096774194,5,9
1941-3033,1884,9,13,16,38,0.23684210526315788,2,8
1941-3033,1885,36,25,14,75,0.48,15,23
1941-3033,1886,144,140,85,369,0.3902439024390244,32,60
1941-3033,1887,60,67,42,169,0.35502958579881655,9,20
1941-3033,1888,70,49,78,197,0.3553299492385787,28,50
1941-3033,1889,35,33,36,104,0.33653846153846156,4,14
1941-3033,1890,85,53,62,200,0.425,25,37
1941-9996,1890,0,0,1,1,0.0,0,0
1943-8710,1877,0,0,1,1,0.0,0,0
1943-8710,1878,0,0,1,1,0.0,0,0
1943-8710,1879,2,0,2,4,0.5,0,0
1943-8710,1880,0,0,3,3,0.0,0,0
1943-8710,1885,0,1,0,1,0.0,0,0
1943-8710,1886,1,0,0,1,1.0,0,0
1943-8710,1887,0,0,1,1,0.0,0,0
1943-8710,1888,0,0,2,2,0.0,0,1
1943-8761,1887,0,9,1,10,0.0,0,0
1943-8907,1871,0,0,1,1,0.0,0,0
1943-8907,1872,2,3,0,5,0.4,0,0
1943-8907,1873,1,0,0,1,1.0,0,0
1943-8907,1874,2,3,2,7,0.2857142857142857,1,3
1943-8907,1876,2,0,1,3,0.6666666666666666,0,1
1943-8907,1877,2,2,4,8,0.25,2,5
1943-8907,1878,2,1,1,4,0.5,0,0
1943-8907,1879,0,0,2,2,0.0,0,0
1943-8907,1881,0,0,3,3,0.0,0,1
1943-8907,1882,0,1,3,4,0.0,0,0
1943-8907,1884,0,0,1,1,0.0,0,0
1943-8907,1886,0,0,2,2,0.0,0,0
1943-8907,1888,0,1,0,1,0.0,0,1
1943-8907,1889,0,0,1,1,0.0,0,0
1943-8907,1890,0,1,1,2,0.0,0,1
1943-8990,1878,20,19,38,77,0.2597402597402597,2,14
1943-8990,1879,23,24,24,71,0.323943661971831,2,7
1943-8990,1880,23,30,12,65,0.35384615384615387,13,27
1943-8990,1881,31,14,7,52,0.5961538461538461,11,17
1943-8990,1882,46,60,35,141,0.3262411347517731,9,23
1943-8990,1883,66,78,42,186,0.3548387096774194,19,54
1943-8990,1884,0,1,2,3,0.0,0,2
1945-9963,1878,1,0,1,2,0.5,0,0
1945-9963,1879,0,0,3,3,0.0,0,0
1945-9963,1880,1,0,1,2,0.5,0,1
1945-9963,1881,5,0,4,9,0.5555555555555556,0,0
1945-9963,1882,2,3,2,7,0.2857142857142857,0,1
1945-9963,1883,0,4,1,5,0.0,0,3
1945-9963,1884,3,0,6,9,0.3333333333333333,0,0
1945-9963,1885,3,2,1,6,0.5,1,2
1945-9963,1886,10,30,10,50,0.2,3,10
1945-9963,1887,8,34,4,46,0.17391304347826086,3,23
1945-9963,1888,7,8,3,18,0.3888888888888889,3,6
1945-9963,1889,0,1,1,2,0.0,0,1
1945-9963,1890,0,1,4,5,0.0,0,1
1946-6080,1883,6,3,5,14,0.42857142857142855,1,3
1946-6080,1884,7,12,25,44,0.1590909090909091,1,5
1946-6080,1885,54,26,22,102,0.5294117647058824,12,23
1946-6080,1886,189,87,145,421,0.4489311163895487,45,86
1946-6080,1887,103,86,73,262,0.3931297709923664,17,32
1946-6080,1888,58,43,44,145,0.4,27,49
1946-6080,1889,20,36,20,76,0.2631578947368421,1,3
