issn,year,anti_labor,neutral,pro_labor,total_labor,anti_labor_intensity,railroad_interest,has_editor,has_publisher,state,year_str,political_affiliation_raw,republican,person_republican,pop_1870,pop_1880,pop_1890,county_pop,log_county_pop
2158-2688,1883,26,28,9,63,0.4126984126984127,1,1,1,PENNSYLVANIA,1883,Democratic,0.0,0.0,121340.0,139447.0,149095.0,142341.4,11.865983676409783
2158-2688,1884,6,11,10,27,0.2222222222222222,1,1,1,PENNSYLVANIA,1884,Democratic,0.0,0.0,121340.0,139447.0,149095.0,143306.2,11.872738878756108
2158-2688,1885,0,1,0,1,0.0,1,1,1,PENNSYLVANIA,1885,Democratic,0.0,0.0,121340.0,139447.0,149095.0,144271.0,11.879448754363775
2158-2793,1871,0,0,1,1,0.0,0,1,1,OHIO,1871,Democratic,0.0,0.0,52508.0,64031.0,84170.0,53660.3,10.890428714720603
2158-2793,1873,1,1,4,6,0.16666666666666666,0,1,1,OHIO,1873,Democratic,0.0,0.0,52508.0,64031.0,84170.0,55964.9,10.932479987490716
2158-2793,1876,3,1,5,9,0.3333333333333333,0,1,1,OHIO,1876,Democratic,0.0,0.0,52508.0,64031.0,84170.0,59421.8,10.992416441388476
2158-2793,1877,19,5,29,53,0.3584905660377358,0,1,1,OHIO,1877,Democratic,0.0,0.0,52508.0,64031.0,84170.0,60574.1,11.011622687959823
2158-2793,1878,2,1,11,14,0.14285714285714285,0,1,1,OHIO,1878,Democratic,0.0,0.0,52508.0,64031.0,84170.0,61726.4,11.030466995203634
2158-2793,1879,4,3,5,12,0.3333333333333333,0,0,1,OHIO,1879,Democratic,0.0,0.0,52508.0,64031.0,84170.0,62878.7,11.048962752589118
2158-2793,1880,2,5,24,31,0.06451612903225806,0,1,0,OHIO,1880,Democratic,0.0,0.0,52508.0,64031.0,84170.0,64031.0,11.067122620070107
2158-2793,1883,7,7,41,55,0.12727272727272726,0,1,1,OHIO,1883,Democratic,0.0,0.0,52508.0,64031.0,84170.0,70072.7,11.157288553517882
2158-9062,1873,0,1,0,1,0.0,0,1,1,KANSAS,1873,,,1.0,1095.0,18753.0,43626.0,6392.4,8.762865063710954
2158-9062,1877,2,0,3,5,0.4,0,1,1,KANSAS,1877,,,1.0,1095.0,18753.0,43626.0,13455.6,9.507150655254835
2158-9062,1878,1,0,2,3,0.3333333333333333,0,1,1,KANSAS,1878,,,1.0,1095.0,18753.0,43626.0,15221.4,9.630457611416661
2158-9062,1880,1,1,0,2,0.5,0,1,1,KANSAS,1880,,,1.0,1095.0,18753.0,43626.0,18753.0,9.839109018599922
2158-9062,1882,1,0,0,1,1.0,0,1,1,KANSAS,1882,,,1.0,1095.0,18753.0,43626.0,23727.6,10.074394206514784
2158-9062,1884,3,4,9,16,0.1875,0,1,1,KANSAS,1884,,,1.0,1095.0,18753.0,43626.0,28702.2,10.264729053862128
2158-9062,1885,10,4,8,22,0.45454545454545453,0,1,1,KANSAS,1885,,,1.0,1095.0,18753.0,43626.0,31189.5,10.347836778694258
2158-9062,1890,6,7,2,15,0.4,0,1,1,KANSAS,1890,,,1.0,1095.0,18753.0,43626.0,43626.0,10.683408581878112
2163-4424,1872,0,2,2,4,0.0,1,1,1,KANSAS,1872,Republican,1.0,1.0,32444.0,32355.0,38485.0,32426.2,10.386722016980958
2163-4424,1873,1,1,2,4,0.25,1,1,1,KANSAS,1873,Republican,1.0,1.0,32444.0,32355.0,38485.0,32417.3,10.386447509896797
2163-4424,1877,3,2,5,10,0.3,1,1,1,KANSAS,1877,Republican,1.0,1.0,32444.0,32355.0,38485.0,32381.7,10.38534872739763
2163-4424,1878,5,1,11,17,0.29411764705882354,1,1,1,KANSAS,1878,Republican,1.0,1.0,32444.0,32355.0,38485.0,32372.8,10.38507384302493
2163-4424,1879,3,2,3,8,0.375,1,1,1,KANSAS,1879,Republican,1.0,1.0,32444.0,32355.0,38485.0,32363.9,10.384798883070033
2163-4424,1880,0,1,0,1,0.0,1,1,1,KANSAS,1880,Republican,1.0,1.0,32444.0,32355.0,38485.0,32355.0,10.384523847491366
2165-9141,1880,1,0,0,1,1.0,0,1,1,ARIZONA,1880,,,1.0,5716.0,17006.0,12673.0,17006.0,9.741321501945738
2165-9141,1882,3,2,1,6,0.5,0,1,1,ARIZONA,1882,,,1.0,5716.0,17006.0,12673.0,16139.4,9.689018766411753
2165-9141,1883,13,4,6,23,0.5652173913043478,0,1,1,ARIZONA,1883,,,1.0,5716.0,17006.0,12673.0,15706.1,9.661804450908056
2165-9141,1890,10,18,3,31,0.3225806451612903,0,1,1,ARIZONA,1890,,,1.0,5716.0,17006.0,12673.0,12673.0,9.447229025082065
2166-1898,1869,2,8,6,16,0.125,0,1,1,,1869,,,0.0,76378.0,78430.0,112740.0,76378.0,11.24344997557153
2166-1898,1871,3,16,12,31,0.0967741935483871,0,1,1,,1871,,,0.0,76378.0,78430.0,112740.0,76583.2,11.246133010525456
2166-1898,1872,9,36,13,58,0.15517241379310345,0,1,1,,1872,,,0.0,76378.0,78430.0,112740.0,76788.4,11.248808866061156
2166-1898,1873,11,19,9,39,0.28205128205128205,0,1,1,,1873,,,0.0,76378.0,78430.0,112740.0,76993.6,11.251477580498305
2166-1898,1876,3,4,0,7,0.42857142857142855,0,1,1,,1876,,,0.0,76378.0,78430.0,112740.0,77609.2,11.25944125584505
2166-1898,1878,8,7,23,38,0.21052631578947367,0,1,1,,1878,,,0.0,76378.0,78430.0,112740.0,78019.6,11.264715356156964
2166-1898,1879,5,2,4,11,0.45454545454545453,0,1,1,,1879,,,0.0,76378.0,78430.0,112740.0,78224.8,11.267342011806425
2166-1898,1882,30,28,37,95,0.3157894736842105,0,1,1,,1882,,,0.0,76378.0,78430.0,112740.0,85292.0,11.353835942446125
2166-1898,1883,16,25,24,65,0.24615384615384617,0,1,1,,1883,,,0.0,76378.0,78430.0,112740.0,88723.0,11.39327443569963
2166-1898,1884,0,6,1,7,0.0,0,1,1,,1884,,,0.0,76378.0,78430.0,112740.0,92154.0,11.431216369643684
2166-1898,1885,16,24,13,53,0.3018867924528302,0,1,1,,1885,,,0.0,76378.0,78430.0,112740.0,95585.0,11.46777118296312
2166-5664,1869,2,1,0,3,0.6666666666666666,0,1,1,OHIO,1869,Democratic,0.0,1.0,38659.0,44880.0,42373.0,38659.0,10.562534885899066
2166-5664,1871,2,0,4,6,0.3333333333333333,0,1,1,OHIO,1871,Republican,1.0,1.0,38659.0,44880.0,42373.0,39281.1,10.578498766149615
2166-5664,1872,3,1,3,7,0.42857142857142855,0,1,1,OHIO,1872,Republican,1.0,1.0,38659.0,44880.0,42373.0,39903.2,10.59421180016332
2166-5958,1871,1,1,1,3,0.3333333333333333,0,0,1,TENNESSEE,1871,Republican,1.0,1.0,28990.0,39124.0,59557.0,30003.4,10.309065987555888
2166-5958,1872,0,4,14,18,0.0,0,0,1,TENNESSEE,1872,Republican,1.0,1.0,28990.0,39124.0,59557.0,31016.8,10.342284272157153
2166-5958,1873,6,7,10,23,0.2608695652173913,0,0,1,TENNESSEE,1873,Republican,1.0,1.0,28990.0,39124.0,59557.0,32030.2,10.374434486729822
2168-0116,1885,117,105,140,362,0.32320441988950277,1,1,1,MINNESOTA,1885,Democratic,0.0,0.0,23085.0,45890.0,139796.0,92843.0,11.438665173524205
2168-0116,1890,150,203,170,523,0.28680688336520077,1,1,1,MINNESOTA,1890,Democratic,0.0,1.0,23085.0,45890.0,139796.0,139796.0,11.847939496069216
2327-6568,1878,1,2,7,10,0.1,1,1,1,PENNSYLVANIA,1878,Republican,1.0,1.0,28226.0,33110.0,37317.0,32133.2,10.377645042544325
2327-6568,1879,0,0,3,3,0.0,1,1,1,PENNSYLVANIA,1879,Republican,1.0,1.0,28226.0,33110.0,37317.0,32621.6,10.392729924634892
2327-6568,1880,2,0,1,3,0.6666666666666666,1,1,0,PENNSYLVANIA,1880,Republican,1.0,1.0,28226.0,33110.0,37317.0,33110.0,10.407590630541291
2327-6568,1882,1,0,5,6,0.16666666666666666,1,1,1,PENNSYLVANIA,1882,Republican,1.0,1.0,28226.0,33110.0,37317.0,33951.4,10.432685369250018
2327-6568,1883,2,1,3,6,0.3333333333333333,1,1,1,PENNSYLVANIA,1883,Republican,1.0,1.0,28226.0,33110.0,37317.0,34372.1,10.445000467773697
2327-6568,1884,1,2,12,15,0.06666666666666667,1,1,1,PENNSYLVANIA,1884,Republican,1.0,1.0,28226.0,33110.0,37317.0,34792.8,10.457165747804797
2327-6568,1885,3,0,3,6,0.5,1,1,1,PENNSYLVANIA,1885,Republican,1.0,1.0,28226.0,33110.0,37317.0,35213.5,10.469184810787418
2327-6568,1890,0,0,1,1,0.0,1,1,1,PENNSYLVANIA,1890,Republican,1.0,1.0,28226.0,33110.0,37317.0,37317.0,10.527204265878074
2328-5990,1869,0,1,5,6,0.0,0,0,1,ILLINOIS,1869,Democratic,0.0,0.0,60792.0,70403.0,80798.0,60792.0,11.01521348034962
2328-5990,1871,0,0,2,2,0.0,0,0,1,ILLINOIS,1871,Democratic,0.0,0.0,60792.0,70403.0,80798.0,61753.1,11.030899455659274
2328-5990,1872,0,0,3,3,0.0,0,0,1,ILLINOIS,1872,Democratic,0.0,0.0,60792.0,70403.0,80798.0,62714.2,11.046343176258464
